country_ISO_alpha3,coastal_population
MAR,21356029
ABW,107380
AFG,0
AGO,5571928
AIA,15465
ALB,3044958
AND,0
ANT,200726
ARE,4566342
ARG,17843526
ARM,0
ASM,68505
ATG,88550
AUS,18797669
AUT,121512
AZE,0
BDI,0
BEL,7997047
BEN,5358564
BFA,0
BGD,77747996
BGR,484365
BHR,807131
BHS,345736
BIH,1413082
BLR,0
BLZ,312928
BMU,0
BOL,0
BRA,92478220
BRB,256552
BRN,407045
BTN,0
BWA,0
CAF,0
CAN,7607558
CHE,0
CHL,13463115
CHN,323367776
CIV,8388398
CMR,4037836
COD,1376366
COG,796699
COK,0
COL,13342775
COM,691351
CPV,512582
CRI,4639813
CUB,11204351
CYM,56628
CYP,879723
CZE,0
DEU,10743221
DJI,876461
DMA,66515
DNK,5481283
DOM,10225482
DZA,24897784
ECU,7484727
EGY,37234698
ERI,3629076
ESP,30686048
EST,1107729
ETH,1223484
FIN,3848443
FJI,854098
FLK,3038
FRA,24503768
FRO,50152
FSM,0
GAB,894068
GBR,56073425
GEO,0
GGY,58967
GHA,10670130
GIB,31073
GIN,3094899
GLP,467182
GMB,1365665
GNB,1554475
GNQ,477868
GRC,11088026
GRD,104342
GRL,57291
GTM,9966594
GUF,214788
GUM,0
GUY,622835
HKG,7069378
HND,5848224
HRV,1587106
HTI,10188175
HUN,0
IDN,222629040
IMN,80454
IND,288593632
IRL,4589002
IRN,5385001
IRQ,1999439
ISL,328852
ISR,7277092
ITA,46237537
JAM,2729909
JEY,91125
JOR,2008879
JPN,125532058
KAZ,0
KEN,3134170
KGZ,0
KHM,2878076
KIR,0
KNA,52368
KOR,48054329
KWT,3032112
LAO,193086
LBN,4254583
LBR,2559705
LBY,5751642
LCA,173942
LIE,0
LKA,20147532
LSO,0
LTU,701121
LUX,0
LVA,1720941
MAC,547591
MCO,32904
MDA,0
MDG,10210947
MDV,0
MEX,32596799
MHL,0
MKD,235128
MLI,0
MLT,409999
MMR,23434343
MNG,0
MNP,0
MOZ,13250474
MRT,1094273
MSR,5962
MTQ,406001
MUS,1296569
MWI,0
MYS,27256153
MYT,199065
NAM,147497
NCL,253743
NER,0
NFK,2252
NGA,36373544
NIC,3963268
NIU,1438
NLD,15400159
NOR,4521746
NPL,0
NRU,0
NZL,4276380
OMN,2626688
PAK,17065018
PAN,3508475
PCN,0
PER,16981373
PHL,93615154
PLW,0
PNG,4332539
POL,4522451
PRI,3998010
PRK,22478166
PRT,9937225
PRY,0
PSE,4409392
PYF,0
QAT,1508322
REU,837094
ROU,0
RUS,9532104
RWA,0
SAU,11097848
SCG,772600
SDN,1256614
SEN,10054565
SGP,4836691
SHN,0
SJM,0
SLB,535699
SLE,3501705
SLV,6191202
SMR,31537
SOM,5914331
SPM,6044
STP,165397
SUR,497062
SVK,0
SVN,1150156
SWE,7887635
SWZ,257580
SYC,0
SYR,10658788
TCA,32990
TCD,0
TGO,3036329
THA,27895020
TJK,0
TKL,1206
TKM,0
TLS,1171163
TON,104260
TTO,1343725
TUN,8834931
TUR,17735647
TUV,0
TWN,23315003
TZA,8758633
UGA,0
UKR,0
URY,2673277
USA,133574087
UZB,0
VAT,785
VCT,109284
VEN,21124707
VGB,23276
VIR,109326
VNM,71498624
VUT,245786
WLF,15446
WSM,178943
YEM,14278300
ZAF,19307400
ZMB,0
ZWE,0