,ISO_TER1,flag_gfw,hours,fishing_hours
0,ABW,RUS,3.0031,0
1,AGO,AGO,86110.7643,14352.8253
2,AGO,BLZ,10.3999,0
3,AGO,CHN,5351.3346,960.0338
4,AGO,COK,78.1631,0
5,AGO,CPV,6.9401,0
6,AGO,CUW,10.7214,0
7,AGO,ESP,46930.2445,4522.6793
8,AGO,FRA,121.6359,23.045
9,AGO,GEO,1741.1384,41.1027
10,AGO,GTM,12.2944,0
11,AGO,JPN,707.1208,498.5735
12,AGO,LTU,2137.466,4.0364
13,AGO,NAM,4930.0157,437.8609
14,AGO,NGA,21.0345,0
15,AGO,SEN,759.6148,0
16,AGO,SLV,47.0729,0
17,AIA,USA,3.5167,0
18,AIA,VCT,1.006,0
19,ALB,ALB,36935.0998,12536.7706
20,ALB,GRC,0.1666,0
21,ALB,ITA,95.1789,33.0701
22,ALB,MNE,0.3077,0.3077
23,ALB,SVN,67.6829,0
24,ARE,CHN,2.2318,0
25,ARE,IRN,9779.6162,2529.2766
26,ARE,JPN,287.0224,127.3329
27,ARE,PAK,493.7499,125.3246
28,ARE,QAT,26.908,17.2928
29,ARE,TZA,257.3746,110.7727
30,ARG,ARE,2.2702,0
31,ARG,ARG,223248.4909,67121.1806
32,ARG,BLZ,2.3373,0
33,ARG,CHL,36.3609,1.2587
34,ARG,CHN,799.0077,0
35,ARG,ESP,4.99,0
36,ARG,KIR,5636.1164,0
37,ARG,KOR,726.7224,0
38,ARG,POL,1.5885,0
39,ARG,RUS,8.565,0
40,ARG,TWN,12.1072,0
41,ARG,UKR,22.9641,0
42,ARG,URY,12266.3605,10451.2167
43,ASM,CHN,31.1106,2.3558
44,ASM,COK,352.03,33.5189
45,ASM,ECU,3.0118,0
46,ASM,ESP,30.0232,0
47,ASM,KIR,22.354,0
48,ASM,NZL,12.5698,0
49,ASM,TWN,493.6563,68.0156
50,ASM,USA,1874.3875,589.9244
51,ASM,VUT,21.4524,0
52,ATF,AUS,16.7778,2.9244
53,ATF,CHN,0.6566,0
54,ATF,FRA,2818.1105,651.89
55,ATG,CAN,78.6558,17.5911
56,ATG,KNA,23.202,3.2187
57,ATG,USA,53.3437,2.1392
58,ATG,VCT,9.5607,0
59,AUS,AUS,341029.3012,94613.6157
60,AUS,ESP,35.2253,10.8681
61,AUS,JPN,34.0819,1.4138
62,AUS,NCL,46.0314,5.7657
63,AUS,NZL,41.6302,0
64,AUS,PNG,1251.1162,12.778
65,BEL,BEL,20146.9612,14597.0649
66,BEL,FRA,152.9822,0.5862
67,BEL,GBR,501.0541,212.5444
68,BEL,IRL,5.3019,0
69,BEL,NLD,33008.4371,21401.6028
70,BEL,USA,4.1262,0
71,BEN,GHA,50.5053,6.897
72,BEN,NGA,2.6006,0
73,BES,KNA,50.663,18.5069
74,BES,VCT,39.0571,0
75,BES,VEN,0.5294,0
76,BGD,RUS,447.1781,28.8665
77,BGR,BGR,97629.7603,45316.5627
78,BGR,ROU,0.4132,0
79,BHR,BHR,45037.2899,9356.1746
80,BHR,QAT,136.4712,45.511
81,BHR,SAU,1217.8734,878.1079
82,BHS,USA,3230.5929,279.1633
83,BLM,KNA,0.424,0.2738
84,BLM,USA,2.4155,0
85,BLM,VCT,3.9224,0
86,BMU,BMU,130.376,0
87,BMU,CAN,19.6865,0
88,BMU,USA,427.9321,0
89,BRA,AFG,114.2312,8.2053
90,BRA,ARG,3.8306,0
91,BRA,BRA,190832.8491,105728.5144
92,BRA,DNK,413.6904,358.3921
93,BRA,ESP,25.592,0
94,BRA,FLK,67.6418,0
95,BRA,FRA,55.2758,54.5186
96,BRA,FRO,90.3621,7.7537
97,BRA,GRL,360.6225,25.4625
98,BRA,KNA,132.286,35.4213
99,BRA,PRT,3.802,0
100,BRA,SLB,1534.9681,620.9559
101,BRB,FRA,36.603,0
102,BRB,JPN,10.581,0
103,CAN,CAN,909316.6857,105702.9474
104,CAN,CHN,0,0
105,CAN,ESP,4.0175,0
106,CAN,EST,43.5918,18.1262
107,CAN,FRA,191.4677,0
108,CAN,JPN,173.8752,57.2807
109,CAN,NOR,16.5932,0
110,CAN,PRT,88.8297,57.0376
111,CAN,RUS,14.8233,4.168
112,CAN,SPM,209.4239,0
113,CAN,USA,15135.8827,899.7162
114,CHL,ARG,10815.8778,227.9217
115,CHL,CHL,315884.4942,11693.453
116,CHL,CHN,34635.9979,49.186
117,CHL,ESP,57.7112,0
118,CHL,KOR,5653.0072,175.4578
119,CHL,PER,13.4638,3.0657
120,CHL,POL,228.2565,1.2491
121,CHL,RUS,1893.5702,275.2813
122,CHL,TWN,347.9714,0
123,CHL,UKR,6488.3432,114.0771
124,CHL,USA,1646.5499,0
125,CHN,CHN,32922178.99,10902818.87
126,CHN,CIV,35.4849,0
127,CHN,COK,190.4113,50.6809
128,CHN,DNK,1.9169,0
129,CHN,FSM,4.6543,0
130,CHN,HKG,7403.0526,2359.4302
131,CHN,HND,4.0938,0
132,CHN,JPN,6628.0155,2457.2106
133,CHN,KOR,4219.8587,2398.2799
134,CHN,MHL,13.7123,0
135,CHN,MLT,136.4808,0
136,CHN,MUS,162.5365,26.7375
137,CHN,PCN,0,0
138,CHN,PER,578.7081,109.1288
139,CHN,RUS,6971.2151,423.1402
140,CHN,SEN,6.8106,0
141,CHN,TWN,78528.5779,24467.9715
142,CHN,UNK,118080.3065,37099.5017
143,CHN,VNM,4353.0079,1763.2402
144,CHN,VUT,591.338,0
145,CIV,BLZ,4181.9552,11.6528
146,CIV,CHN,7437.4831,1820.2427
147,CIV,CPV,1459.3114,44.351
148,CIV,CUW,4913.5217,18.5222
149,CIV,ESP,12702.7224,1511.3542
150,CIV,FRA,8051.8867,5.9618
151,CIV,GHA,10631.3625,5296.5025
152,CIV,GTM,1990.8184,12.7606
153,CIV,PAN,2038.3619,0.4781
154,CIV,SEN,1108.4472,28.6265
155,CIV,SLV,2427.5527,17.71
156,CMR,CHN,21863.5707,7626.2049
157,CMR,CMR,31016.5403,27070.9768
158,COD,AGO,18.0596,0
159,COD,COK,93.7546,10.2301
160,COG,CHN,122.6318,0
161,COG,ESP,3369.0078,52.1322
162,COG,FRA,707.5759,483.1035
163,COG,NGA,118.2626,8.8312
164,COK,CHN,462.0549,78.0631
165,COK,ESP,5.8003,0
166,COK,KIR,0.6988,0
167,COK,KOR,2.3297,0
168,COK,TWN,9.1672,0
169,COK,USA,6.0817,0
170,COK,VUT,2.8818,0
171,COL,COL,4509.6272,39.9819
172,COL,ECU,33.625,4.0744
173,COL,JPN,1112.2472,73.8103
174,COL,PAN,122.4583,0
175,COL,PRT,14.027,0
176,COL,RUS,2.8532,0
177,COL,VEN,3756.7601,726.7797
178,COM,CHN,4.8809,0
179,COM,KOR,0.5775,0
180,CPV,AGO,1985.027,0.2358
181,CPV,ARG,13.4302,0
182,CPV,BLZ,99.4698,0
183,CPV,CHN,250.7172,49.9202
184,CPV,CPV,1067.9386,159.372
185,CPV,CUW,10.6713,0
186,CPV,ESP,2748.3772,69.4513
187,CPV,FLK,187.892,0
188,CPV,FRA,105.1596,0
189,CPV,GBR,9.1184,0
190,CPV,ITA,10.4861,0
191,CPV,JPN,1513.276,8.6282
192,CPV,KOR,158.1261,0
193,CPV,NOR,18.9857,0
194,CPV,PRT,648.7436,0
195,CPV,SEN,23.634,1.7733
196,CPV,SLV,3.4569,0
197,CRI,CHN,52.5883,0
198,CRI,ESP,2.7706,0
199,CRI,PAN,0.9571,0
200,CRI,PRT,5.3752,0
201,CRI,USA,1192.75,0
202,CRI,VEN,2744.5401,173.0277
203,CUB,CAN,16.8746,0
204,CUW,VEN,0.3305,0
205,CYM,USA,41.9942,0
206,CYP,CYP,20900.1042,8792.1965
207,CYP,EGY,38.5432,5.9552
208,CYP,GRC,104.8894,28.9915
209,CYP,ISR,30.547,9.7325
210,CYP,ITA,36.704,3.4637
211,CYP,MAR,49.4552,6.2131
212,CYP,TUR,1090.6031,316.4629
213,DEU,BEL,7.5356,0
214,DEU,CHE,1.324,0.183
215,DEU,DEU,469818.5633,81923.7819
216,DEU,DNK,26367.3834,6835.4997
217,DEU,ESP,35.949,0
218,DEU,FIN,4.4125,0
219,DEU,GBR,882.8534,257.2681
220,DEU,GRL,2.673,0.0319
221,DEU,IRL,846.7596,353.979
222,DEU,ISL,8.1432,0
223,DEU,LTU,6.8429,0
224,DEU,NLD,22142.1188,6596.3258
225,DEU,NOR,2.9316,0.2991
226,DEU,POL,4945.3952,3565.2476
227,DEU,RUS,46.2193,0.2469
228,DEU,SWE,131.5781,110.3762
229,DEU,USA,12.889,0
230,DJI,CHN,8.5578,0
231,DJI,ESP,4.2878,0
232,DJI,FRA,93.1029,12.8701
233,DJI,RUS,9.4089,0
234,DJI,SEN,2.2045,0
235,DJI,TUR,2.4317,0
236,DMA,CAN,551.5126,382.6335
237,DMA,ECU,2.6625,0
238,DMA,FRA,26.9089,0
239,DMA,JPN,0.7769,0
240,DMA,VCT,75.7478,0
241,DNK,BEL,4981.9896,1106.2679
242,DNK,CAN,411.1751,4.9146
243,DNK,CHE,0.9979,0
244,DNK,DEU,34373.8722,2654.8211
245,DNK,DNK,980242.801,186286.4251
246,DNK,EST,642.5421,144.752
247,DNK,FIN,2300.0215,280.3179
248,DNK,FRA,2910.6321,0
249,DNK,FRO,87.2638,0
250,DNK,GBR,23064.6219,176.4332
251,DNK,GRL,993.5663,13.6257
252,DNK,IRL,1425.0882,1.5613
253,DNK,ISL,90.4425,0
254,DNK,LTU,9700.4841,654.2109
255,DNK,LVA,1614.4069,270.209
256,DNK,NLD,33963.138,4839.7322
257,DNK,NOR,28892.1058,772.691
258,DNK,PAN,8352.3116,799.5291
259,DNK,POL,17793.0051,5708.4685
260,DNK,RUS,1202.2741,7.2232
261,DNK,SWE,43905.5562,12629.9474
262,DOM,ESP,1.0122,0
263,DOM,JPN,7.5958,0
264,DOM,PAN,0.0305,0
265,DOM,USA,663.3109,98.1
266,DZA,CHN,19.0503,0
267,DZA,DZA,504.0828,0
268,DZA,ESP,1.3624,0
269,DZA,FRA,95.7924,0
270,DZA,RUS,3.1264,0
271,DZA,TUR,95.5716,0
272,ECU,COK,5.5132,0
273,ECU,COL,267.078,1.7063
274,ECU,ECU,4725.2517,203.8671
275,ECU,ESP,16.47,0
276,ECU,NIC,49.6868,1.3541
277,ECU,PAN,1468.5742,17.9856
278,ECU,SLV,20.875,0
279,ECU,USA,107.0322,1.7866
280,ECU,VEN,180.8336,6.6902
281,EGY,BLZ,3435.8928,209.5523
282,EGY,CHN,185.7512,21.0996
283,EGY,CPV,316.5975,19.0219
284,EGY,EGY,17.439,0
285,EGY,ESP,52.2839,0
286,EGY,FRA,185.6566,30.0593
287,EGY,RUS,118.6556,25.3239
288,EGY,SEN,40.5794,1.6452
289,EGY,TUR,35.5339,6.4155
290,ERI,CHN,7.7942,0
291,ERI,ESP,9.5931,0
292,ERI,FRA,35.0415,0
293,ERI,RUS,29.6318,0
294,ERI,SEN,1.722,0
295,ERI,TUR,11.4049,0
296,ESH,BLZ,3635.5577,164.5735
297,ESH,CHN,27162.6085,603.7258
298,ESH,CMR,2088.8536,43.328
299,ESH,CPV,14.6292,0
300,ESH,CUW,1318.3893,27.8876
301,ESH,DEU,100.8187,16.5287
302,ESH,ESP,8020.7193,80.0524
303,ESH,FRA,2870.7741,238.1713
304,ESH,GEO,4794.8429,140.3445
305,ESH,GRC,530.164,10.3547
306,ESH,HUN,2.5031,0
307,ESH,IDN,2829.6797,12.9997
308,ESH,ISL,7.8662,1.5452
309,ESH,JPN,97.2441,0.0333
310,ESH,LTU,1103.5069,17.2854
311,ESH,LVA,1128.4681,59.393
312,ESH,MAR,88572.6576,8946.5518
313,ESH,MRT,15350.2535,263.5562
314,ESH,NLD,439.4194,41.5502
315,ESH,NOR,3189.6949,7.2501
316,ESH,PRT,234.3355,145.7994
317,ESH,RUS,5651.1883,416.9486
318,ESH,SEN,84.203,0
319,ESH,SWE,140.5971,16.6227
320,ESH,TUR,2731.8594,158.3036
321,ESP,AGO,18.7011,0.9255
322,ESP,ARG,27.0089,3.1607
323,ESP,BEL,329.8408,2.0838
324,ESP,BLZ,746.082,0
325,ESP,CHN,11.1252,0
326,ESP,CPV,4.3265,0
327,ESP,DEU,441.9269,20.134
328,ESP,DZA,18.6076,0
329,ESP,ECU,387.1591,0.9471
330,ESP,ESP,2772030.668,892374.9484
331,ESP,FLK,2327.4846,22.6515
332,ESP,FRA,16896.2915,3009.0183
333,ESP,GBR,4640.9804,1.5384
334,ESP,GRL,18.2703,5.3521
335,ESP,IRL,373.0948,10.2665
336,ESP,ISL,5.8774,0
337,ESP,ITA,2067.0802,35.107
338,ESP,MAR,2119.3566,0.9361
339,ESP,MLT,4558.2296,587.8385
340,ESP,MRT,15.0124,0
341,ESP,NAM,5.9232,0
342,ESP,NLD,14.4744,0
343,ESP,NOR,47.5491,0
344,ESP,PRT,19424.4496,3876.6532
345,ESP,RUS,26.4356,0.3341
346,ESP,SEN,14.3489,0
347,ESP,SLV,169.9952,3.8415
348,ESP,TUR,39.5641,0
349,EST,DNK,5.445,4.584
350,EST,EST,77160.6371,22366.1402
351,EST,FIN,17294.6126,4522.7644
352,EST,LTU,532.8944,15.4177
353,EST,LVA,173.3789,64.7971
354,EST,NOR,3.9407,0
355,EST,POL,0.2991,0.2991
356,EST,RUS,2930.7874,980.6555
357,EST,SWE,0.258,0.258
358,FIN,CHE,67.4391,0
359,FIN,DNK,59.4146,59.4146
360,FIN,EST,188.6103,4.487
361,FIN,FIN,85690.3383,16446.8953
362,FIN,RUS,402.0512,226.5865
363,FIN,SWE,500.9911,341.6223
364,FJI,AUS,213.6809,51.7653
365,FJI,CAN,209.4154,5.8649
366,FJI,CHN,87505.8004,3591.2482
367,FJI,COK,1823.9146,6.9085
368,FJI,FJI,49378.4207,2441.4595
369,FJI,JPN,525.3121,0
370,FJI,KIR,1573.4802,11.1016
371,FJI,KOR,1772.3395,10.5212
372,FJI,NRU,172.2815,0
373,FJI,TUV,175.2936,0
374,FJI,TWN,22709.6923,248.5048
375,FJI,VUT,9865.6388,104.6902
376,FLK,CHL,22.0385,0.7283
377,FLK,CHN,3.7783,0.4305
378,FLK,ESP,3552.6088,1674.6437
379,FLK,FLK,13454.1554,7358.0533
380,FLK,GBR,1108.3859,700.5523
381,FLK,KOR,6236.8535,440.3672
382,FLK,NOR,8.0003,0
383,FLK,NZL,12.6776,0
384,FLK,SHN,22.514,0
385,FLK,TWN,3788.586,58.0212
386,FLK,URY,32.878,0
387,FLK,VUT,477.2574,11.5846
388,FRA,BEL,21267.4663,3006.1957
389,FRA,DEU,153.5391,18.9558
390,FRA,DNK,27.4984,0
391,FRA,ESP,11949.0225,5759.3174
392,FRA,FRA,1747319.457,451235.9579
393,FRA,GBR,31295.2784,15325.7933
394,FRA,IRL,714.0591,240.6428
395,FRA,ITA,5179.5107,4280.3016
396,FRA,LBY,3.844,0
397,FRA,LTU,2.0616,0
398,FRA,NCL,174.0413,0
399,FRA,NLD,37185.8181,4727.9247
400,FRA,NOR,21.9405,0
401,FRA,POL,6.7749,0
402,FRA,PRT,4.0624,0
403,FRA,RUS,17.2032,1.2677
404,FRA,SWE,0.1808,0
405,FRA,USA,5.0959,0
406,FRO,DEU,5.8649,0
407,FRO,DNK,211.2962,4.9944
408,FRO,ESP,4.3145,0
409,FRO,FRO,260841.5741,46087.9456
410,FRO,GBR,5.3923,1.9167
411,FRO,GRL,7222.9619,106.1224
412,FRO,ISL,1912.364,3.3777
413,FRO,LTU,24.0911,0
414,FRO,NOR,301.7249,4.0244
415,FRO,RUS,19623.2971,359.2445
416,FRO,SWE,6.679,0
417,FSM,CHN,6802.5261,461.3189
418,FSM,FSM,11287.8075,167.2387
419,FSM,JPN,534.8029,28.5848
420,FSM,KIR,173.2782,4.3208
421,FSM,KOR,2604.3774,108.5025
422,FSM,MHL,349.1399,4.8464
423,FSM,NRU,649.3028,0
424,FSM,PHL,5.5562,0
425,FSM,PNG,6494.9471,147.8172
426,FSM,SLB,291.5852,4.326
427,FSM,TUV,95.4561,1.5619
428,FSM,TWN,6090.4286,324.1755
429,FSM,USA,10286.502,144.469
430,FSM,VUT,220.4395,1.3246
431,GAB,CHN,416.8216,83.187
432,GAB,NGA,563.5382,44.0739
433,GAB,SLV,369.4932,0
434,GBR,BEL,37745.5912,18410.9794
435,GBR,CAN,17.9835,0
436,GBR,CHE,392.4787,68.7405
437,GBR,DEU,2232.1909,582.2656
438,GBR,DNK,3123.933,254.0778
439,GBR,ESP,6513.6521,99.2658
440,GBR,FRA,45076.4033,23091.2475
441,GBR,FRO,673.3922,118.8462
442,GBR,GBR,1605992.574,521911.0604
443,GBR,GRL,85.5744,0
444,GBR,HRV,520.0114,119.3697
445,GBR,IRL,24284.8532,10879.6116
446,GBR,ISL,40.3365,0
447,GBR,JPN,5.038,0
448,GBR,LIE,138.8872,67.0213
449,GBR,LTU,17.7735,0
450,GBR,NLD,6952.8138,3623.5672
451,GBR,NOR,22275.2213,1542.7546
452,GBR,POL,122.5163,0
453,GBR,PRT,60.2103,0
454,GBR,RUS,141.5067,0
455,GBR,SWE,277.2877,56.7242
456,GBR,USA,8.6068,0
457,GEO,GEO,64891.5676,8796.8478
458,GEO,RUS,116.419,0
459,GEO,TUR,17647.2141,946.2902
460,GGY,BEL,314.038,4.2258
461,GGY,DEU,39.3617,11.4591
462,GGY,DNK,0.8835,0
463,GGY,FRA,10303.393,7004.718
464,GGY,GBR,46345.8486,8963.0824
465,GGY,IRL,23.4812,2.084
466,GGY,NLD,203.1098,2.4322
467,GGY,NOR,7.0172,0
468,GGY,POL,3.8413,0
469,GGY,PRT,2.2502,0
470,GGY,RUS,5.1909,0
471,GGY,USA,1.4618,0
472,GHA,BLZ,4529.0167,557.9991
473,GHA,CHN,1108.3223,160.3101
474,GHA,ESP,233.984,0
475,GHA,FRA,737.8165,1.1299
476,GHA,GHA,87413.6222,17270.4706
477,GHA,JPN,101.5062,2.8913
478,GHA,NGA,8.497,1.503
479,GHA,TWN,4.4685,0
480,GIB,DEU,3.7221,1.2166
481,GIB,ESP,804.0502,619.6828
482,GIB,FRA,1.6548,0
483,GIB,MAR,9.8771,0
484,GIB,NOR,1.6454,0
485,GIB,TUR,3.1314,0
486,GIN,CHN,3618.537,238.2703
